index,source_id,source_path,file_type,document_char_count,document_word_count,chunk_count,avg_chunk_words,max_chunk_words,min_chunk_words,status
62,10XUDbhfwEmJZuPF0WZFxyTgxLsXrChJeZgrzNqAciMc,Technical Teams/Fluids and Internal Structures/Archive/P&IDs/RANDY2.1,txt,569,134,1,134.0,134,134,ok
63,1AbaNbzMD5rdscd1bF71lYiScAIjboHMX,Technical Teams/Fluids and Internal Structures/Archive/P&IDs/RANDY2.pdf,pdf,465,116,1,116.0,116,116,ok
64,1IUk6UQmHfPRaUyV9fGeUdKQjgVOyL6fg,Technical Teams/Fluids and Internal Structures/Archive/Scripts/Emerson_Flow_Coefficient.pdf,pdf,23439,4309,8,666.75,824,369,ok
65,1LJBYIQoZHC0yOv9SGHKoj03iiHPDyF0DH4LCjHUubfE,Technical Teams/Fluids and Internal Structures/Archive/Scripts/Churchill Friction Factor Resources,txt,3006,291,1,291.0,291,291,ok
66,1B7zwUgUaxD3M1TFAHeHcAAmASJWmMgNe,Technical Teams/Fluids and Internal Structures/Archive/Scripts/swagelok_sizing_regulators.pdf,pdf,10148,1793,3,603.33,784,275,ok
67,1Z3i3hGnzWTblPnIqt1rgUcTAqP23uWxq,Technical Teams/Fluids and Internal Structures/Archive/Scripts/dvdm240pneu.pdf,pdf,2039,382,1,382.0,382,382,ok
68,1uwlAHdK1Nwyv6CfscCmQ54joCZGpQc_1,Technical Teams/Fluids and Internal Structures/Archive/Scripts/dvduraireii.pdf,pdf,11319,2176,3,725.33,838,623,ok
69,1Zu5fWrpS1Prt7RIRNBbKcKJZKafHbbz0dD_pAfbj4YM,Technical Teams/Fluids and Internal Structures/Archive/Scripts/Gas System Script Variables,txt,3132,443,1,443.0,443,443,ok
70,1nhr7WSJ9L34szbNps-I-z4CLxHySrQFvnxQ4dpTiAQM,Technical Teams/Fluids and Internal Structures/Archive/Scripts/Overview of SVs,txt,873,150,1,150.0,150,150,ok
71,1NLNdoQBX-SJhdnM-_OPWX39Xj1YOWvsH,Technical Teams/Fluids and Internal Structures/Archive/Inventory/Purchases/1_2_US_Solid_Solenoid_order2_ebay.pdf,pdf,630,96,1,96.0,96,96,ok
72,1P2hrQJ90KUUeiW3WpIktNrjIY36NkSll,Technical Teams/Fluids and Internal Structures/Archive/Inventory/Purchases/1_2_US_Solid_Solenoid_order1_ebay.pdf,pdf,627,96,1,96.0,96,96,ok
73,1AvPXFQDFvL4bc6AjrKFJUM1Qm94irzhX,Technical Teams/Fluids and Internal Structures/Archive/Inventory/Purchases/3_4_tee_and_check_valves_order_ebay.pdf,pdf,834,123,1,123.0,123,123,ok
74,16GRy3kgQVtYhKmqWH1kQjRNwnhAZtEhe,Technical Teams/Fluids and Internal Structures/Archive/Inventory/Purchases/sharpe_ball_valve_ebay.pdf,pdf,612,97,1,97.0,97,97,ok
75,1WDH4zMzUa_xfVQ7nSH_ni0oMsjhgJXazJLz3jnVLv_8,Technical Teams/Fluids and Internal Structures/Archive/Hotfire Sept. 2024/September 2024 Hotfire Procedures Outline,txt,4140,660,1,660.0,660,660,ok
76,11Q4pdrqmfQ0pX3dgmP6HeNpFaD7tjhkZC8cROQGoiL4,Technical Teams/Fluids and Internal Structures/Archive/Hotfire Sept. 2024/Zucrow Hotfire Notes 2021,txt,2423,425,1,425.0,425,425,ok
77,1ltSYioqf0HJLTlPNfXWw_3WomlmVuLOPPy-rrjk3koo,Technical Teams/Fluids and Internal Structures/Archive/Hotfire Sept. 2024/LRI Pressure Testing Practices Documentation,txt,12439,2073,3,766.67,851,704,ok
78,1G85amrWNCk6tmiaONd9e1lniDgORoPOilpKjakLhspw,Technical Teams/Fluids and Internal Structures/Archive/Hotfire Sept. 2024/2024 Hotfire Safety Documentation,txt,10018,1609,3,601.0,822,225,ok
79,1JjZZ7AX4Qs26COJsUaBII3-n4Zc0rWDgR4EFVAf8Vqk,Technical Teams/Fluids and Internal Structures/Archive/Hotfire Sept. 2024/2024 GRUNT Hotfire Procedures Checklist,txt,5897,712,1,712.0,712,712,ok
80,13VHGlHa6_eANKpliZlKri11bJ_0_EzmHI5Od4QXkiB0,Technical Teams/Fluids and Internal Structures/Archive/Hotfire Sept. 2024/9/5/24 to Hotfire,txt,3378,607,1,607.0,607,607,ok
81,1BU8449XMYdEwwybs0jH1MAeoi-qTkH72VMZlaiA0DhM,Technical Teams/Fluids and Internal Structures/Archive/Cryo/Cryo Fill Testing,pdf,9446,1467,2,785.5,818,753,ok
82,1vmJLaBiQDaU89-rtqzyZ7KTe49EhkoP1HqDpocSGXes,Technical Teams/Fluids and Internal Structures/Archive/Cryo/Notes,txt,30807,3734,6,655.33,775,239,ok
83,1dotD3hwlEOdtSiBxRFrZIFK0c7LDDGR4aN6eowu-H5Y,Technical Teams/Fluids and Internal Structures/Archive/Cryo/LN2 Fill Test Procedure,txt,5470,976,2,515.5,776,255,ok
84,19andu-xDCRCaY7n74LgYlmkxeROazP63OJHvK_OEXIg,Technical Teams/Fluids and Internal Structures/Archive/Cryo/Cryogenic BV Vent Orifice Sizing,txt,1207,134,1,134.0,134,134,ok
85,1di7aE38ahc59D2B8k0R9fP8Artg1EboppRdQs4U-GBY,Technical Teams/Fluids and Internal Structures/Archive/Cryo/LOx Fill Procedures Rough Draft,txt,2582,451,1,451.0,451,451,ok
86,1RV0lRT4gdAsjeIyY1A9YrszVYvORhDm7MeE-jF-wvG4,Technical Teams/Fluids and Internal Structures/Archive/Cryo/Cryogens Safety,txt,3663,483,1,483.0,483,483,ok
87,1k0pJMdAai377g_Dr6xVCzXp1-WlU63T-q8Nlenx52Q0,Technical Teams/Fluids and Internal Structures/Archive/Cryo/Chimera Test Stand Qualms,txt,413,57,1,57.0,57,57,ok
88,1NcAHCrliKUqr9z4vZbd8GHtIKbyH5ROhYoeq3Gk-8tI,Technical Teams/Fluids and Internal Structures/Archive/Cryo/Cryo Ball Valves,txt,599,53,1,53.0,53,53,ok
89,1-UNMXMJ7eRAjZPlLsHYSVnr2s9ypxUJEzHbqVasSmwA,Technical Teams/Fluids and Internal Structures/Archive/Cryo/Cryo Research,txt,2115,176,1,176.0,176,176,ok
90,18d1V_fZZ70iZNcH1IY3GHfNdVk1tw_-FypTY8U3xYyc,Technical Teams/Fluids and Internal Structures/Archive/Cryo/Flow Coefficient Resources,txt,2615,190,1,190.0,190,190,ok
91,1BOglfbYWQyFzk-455NpSKKJYRTnFdhO_u2RMrn3QKKQ,Technical Teams/Fluids and Internal Structures/Archive/Cryo/Fluids Sim Stuff,txt,1152,156,1,156.0,156,156,ok
92,1X5M9L6ASVaqkxuiIRo2eE_pYYrafrO7sCQ1LQZ1dcNY,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Spring 2025 Meetings/Testing Meeting 3/24/25 - Hotfire Plans,txt,4348,719,1,719.0,719,719,ok
93,10JJJXogjh-3xwYnBfGCiQpkjloQ1PTxwNgBfNhlmdtQ,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Spring 2025 Meetings/Testing Worksession 3/2/25,txt,1028,174,1,174.0,174,174,ok
94,1Vfu6sJ2n8wR8OpKBVI2tFBbjHlgkl_AXkyH3XxjFI5Y,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Spring 2025 Meetings/Testing Meeting 2/11/25,txt,4055,693,1,693.0,693,693,ok
95,166gZvk10qDw2yCkAjIm2AuzmjZCwksceXDG7QdPVw3g,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Spring 2025 Meetings/Testing Meeting 2/4/25,txt,4034,626,1,626.0,626,626,ok
96,1XUGJGmic2l_iiGIdVJcV03UvcqjhHx6lHZOk7Slpavc,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Spring 2025 Meetings/Testing Meeting 1/30/25,txt,12960,1999,3,669.33,767,532,ok
97,1IMFsMQ6nBC_zzXXNYDoJIJt0OA0C9wEercZrE1l2UOs,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Spring 2025 Meetings/Testing Meeting 1/23/25,txt,13542,2207,4,591.5,682,524,ok
98,1LrB_Drcev03TYdnbxdEG_tnrRfMjvWZQhtDX4lVEBWo,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Spring 2025 Meetings/Testing Meeting 1/28/25,txt,12475,1938,3,649.0,709,532,ok
99,1gPG_8_u2FYUVf_3czpveIK4ufEjKs_pTAKQAd2uoC3I,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Spring 2025 Meetings/Testing Meeting 1/22/25,txt,18599,3022,5,770.8,834,713,ok
100,1maWR00NBZaLPyMzGwLUW9tghc-NMZPr427qcO_I040U,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Spring 2024 Meetings/2/19/24 Things to Ruminate On,txt,1774,284,1,284.0,284,284,ok
101,1Q1gXTyNmwCDOXmxxB3L09gJzZtErTBBrNc-36yHS0M0,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2023 Meetings/What we learnt in Coldflow Fall 2023?,txt,2609,460,1,460.0,460,460,ok
102,1nDqUESwPq5GyGrC7j0jC1V8IN3JBWldkbTuupHAlT-w,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2023 Meetings/Logistics Tesing Side Meeting 8/31 Schdule ,txt,584,96,1,96.0,96,96,ok
103,1wG1Xos_0IOHtzPpSsKxDudHoQP7DtlO1T-OzDWFxgHs,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2024 Meetings/Spring 2025 Testing Tasks to Cold Flow,txt,5610,993,2,500.5,667,334,ok
