index,source_id,source_path,local_path,extension,status,char_count,word_count,error
60,1pu7S0RLOaLhO9ZjWPDpSvsRAuWKp3UTv_ljqroCry8A,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E TaskMaster,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/RAND-E TaskMaster.txt,.txt,ok,576,95,
61,1V13vphE5c8hMQW5kUWhGN-rww_AdJ4tEyxvi6fEf5p8,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/Pneumatic Actuator and Flex Hose Research,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Pneumatic Actuator and Flex Hose Research.txt,.txt,ok,4818,719,
62,1XF_-Xbau9v-t4gijTCZ2ilvbvrSHNCqf4hiskl6Id4Q,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E Components/MV1-OX-V Nema Stepper Motor Research,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/MV1-OX-V Nema Stepper Motor Research.txt,.txt,ok,2095,352,
63,1c9FidAiE2JhJzE_TVU4FuzakeO62N5KchOAvHo3E5JE,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E Components/MV1-OX-V Nema Stepper Motor,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/MV1-OX-V Nema Stepper Motor.pdf,.pdf,ok,1261,204,
64,18s4mIzWJcEuk5gLoJRMX-pQqbwiXgHAfgMTtfjoeLMc,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E CDR/RAND-E CDR Feedback,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/RAND-E CDR Feedback.txt,.txt,ok,1288,211,
65,1JiOTtFAfF4mLlsbW0l45IrglFY1ijk9iDCZOx55MDUU,Technical Teams/Fluids and Internal Structures/Archive/P&IDs/Randy 2 Reference Sheet,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Randy 2 Reference Sheet.txt,.txt,ok,4732,674,
66,10XUDbhfwEmJZuPF0WZFxyTgxLsXrChJeZgrzNqAciMc,Technical Teams/Fluids and Internal Structures/Archive/P&IDs/RANDY2.1,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/RANDY2.1.txt,.txt,ok,569,134,
67,1AbaNbzMD5rdscd1bF71lYiScAIjboHMX,Technical Teams/Fluids and Internal Structures/Archive/P&IDs/RANDY2.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/RANDY2.pdf,.pdf,ok,465,116,
68,1IUk6UQmHfPRaUyV9fGeUdKQjgVOyL6fg,Technical Teams/Fluids and Internal Structures/Archive/Scripts/Emerson_Flow_Coefficient.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Emerson_Flow_Coefficient.pdf,.pdf,ok,23439,4309,
69,1LJBYIQoZHC0yOv9SGHKoj03iiHPDyF0DH4LCjHUubfE,Technical Teams/Fluids and Internal Structures/Archive/Scripts/Churchill Friction Factor Resources,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Churchill Friction Factor Resources.txt,.txt,ok,3006,291,
70,1B7zwUgUaxD3M1TFAHeHcAAmASJWmMgNe,Technical Teams/Fluids and Internal Structures/Archive/Scripts/swagelok_sizing_regulators.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/swagelok_sizing_regulators.pdf,.pdf,ok,10148,1793,
71,1Z3i3hGnzWTblPnIqt1rgUcTAqP23uWxq,Technical Teams/Fluids and Internal Structures/Archive/Scripts/dvdm240pneu.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/dvdm240pneu.pdf,.pdf,ok,2039,382,
72,1uwlAHdK1Nwyv6CfscCmQ54joCZGpQc_1,Technical Teams/Fluids and Internal Structures/Archive/Scripts/dvduraireii.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/dvduraireii.pdf,.pdf,ok,11319,2176,
73,1Zu5fWrpS1Prt7RIRNBbKcKJZKafHbbz0dD_pAfbj4YM,Technical Teams/Fluids and Internal Structures/Archive/Scripts/Gas System Script Variables,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Gas System Script Variables.txt,.txt,ok,3132,443,
74,1nhr7WSJ9L34szbNps-I-z4CLxHySrQFvnxQ4dpTiAQM,Technical Teams/Fluids and Internal Structures/Archive/Scripts/Overview of SVs,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Overview of SVs.txt,.txt,ok,873,150,
75,1qo-zvJOk97dhed1FlUfS6XZIuPQGPataLrnz0PYLrSE,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/Zucrow Testing Questions 2021 #2,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Zucrow Testing Questions 2021 #2.txt,.txt,ok,3993,730,
76,1DUODZEWQNt1mYLwEY4FkabbhWX5Q1jphMTpfCFJVQi0,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/PSP Testing Questions 2021,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/PSP Testing Questions 2021.txt,.txt,ok,1802,313,
77,1QeG4nyJqb1a34z4SoCKGD2yhsvb7BByE,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/ASME-Sec-VIII-Div1-2023.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/ASME-Sec-VIII-Div1-2023.pdf,.pdf,error,0,0,Stream has ended unexpectedly
