index,id,name,path,mimeType,webViewLink,mode,export_mime,local_path,status,size_written_bytes,error
1515,13sp-ppTJZH0tnf7f8dyP9NJmlCXLHTHt,Ulas and Boysan - 2013 - Numerical analysis of regenerative cooling in liqu.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/Ulas and Boysan - 2013 - Numerical analysis of regenerative cooling in liqu.pdf,application/pdf,https://drive.google.com/file/d/13sp-ppTJZH0tnf7f8dyP9NJmlCXLHTHt/view?usp=drivesdk,download,,rag_downloads/Ulas and Boysan - 2013 - Numerical analysis of regenerative cooling in liqu.pdf,download,24145758.0,
1516,17K45wuhfLM4JQH6ZVHYdhP_9HXwxCnIT,Betti et al. - Development of Heat Transfer Correlations for LOX.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/Betti et al. - Development of Heat Transfer Correlations for LOX.pdf,application/pdf,https://drive.google.com/file/d/17K45wuhfLM4JQH6ZVHYdhP_9HXwxCnIT/view?usp=drivesdk,download,,rag_downloads/Betti et al. - Development of Heat Transfer Correlations for LOX.pdf,download,542086.0,
1517,1v_t-M7-iU07OKVydqXfDZJtgYzFO4-Yi,Jin et al. - 2022 - Experimental study on the spray characteristics of.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/Jin et al. - 2022 - Experimental study on the spray characteristics of.pdf,application/pdf,https://drive.google.com/file/d/1v_t-M7-iU07OKVydqXfDZJtgYzFO4-Yi/view?usp=drivesdk,download,,rag_downloads/Jin et al. - 2022 - Experimental study on the spray characteristics of.pdf,download,2458866.0,
1518,1OJlW7k6srx_BPBiOx5sKIxHhh17FyzNg,Cardillo et al. - 2014 - NUMERICAL SIMULATION OF A LO2-CH4 ROCKET ENGINE DE.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/Cardillo et al. - 2014 - NUMERICAL SIMULATION OF A LO2-CH4 ROCKET ENGINE DE.pdf,application/pdf,https://drive.google.com/file/d/1OJlW7k6srx_BPBiOx5sKIxHhh17FyzNg/view?usp=drivesdk,download,,rag_downloads/Cardillo et al. - 2014 - NUMERICAL SIMULATION OF A LO2-CH4 ROCKET ENGINE DE.pdf,download,1119168.0,
1519,1Ob50J9OQQMLg1At4VV6ene9gmoO6gkOc,Pizzarelli et al. - 2014 - Cooling Channel Analysis of a LOXLCH4 Rocket Engi.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/Pizzarelli et al. - 2014 - Cooling Channel Analysis of a LOXLCH4 Rocket Engi.pdf,application/pdf,https://drive.google.com/file/d/1Ob50J9OQQMLg1At4VV6ene9gmoO6gkOc/view?usp=drivesdk,download,,rag_downloads/Pizzarelli et al. - 2014 - Cooling Channel Analysis of a LOXLCH4 Rocket Engi.pdf,download,1105566.0,
1520,1z9dMt4usQ5qzymVtdxW0MShSk8mitfd4,Leonardi et al. - 2019 - Analysis of thermal stratification impact on the d.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/Leonardi et al. - 2019 - Analysis of thermal stratification impact on the d.pdf,application/pdf,https://drive.google.com/file/d/1z9dMt4usQ5qzymVtdxW0MShSk8mitfd4/view?usp=drivesdk,download,,rag_downloads/Leonardi et al. - 2019 - Analysis of thermal stratification impact on the d.pdf,download,1213010.0,
1521,1U3tL9OgHpOe5strIy_Ul-LfkLn5AZvpY,huang-huzel-2012-modern-engineering-for-design-of-liquid-propellant-rocket-engines.pdf,Technical Teams/Engine/General Resources/huang-huzel-2012-modern-engineering-for-design-of-liquid-propellant-rocket-engines.pdf,application/pdf,https://drive.google.com/file/d/1U3tL9OgHpOe5strIy_Ul-LfkLn5AZvpY/view?usp=drivesdk,download,,rag_downloads/huang-huzel-2012-modern-engineering-for-design-of-liquid-propellant-rocket-engines.pdf,download,43758225.0,
1522,1RNapZS2HmG1uYDqrRJIgCCoFdWmzShg3PHZ1ODskKmI,19660014566,Technical Teams/Engine/General Resources/Electroforming/19660014566,application/vnd.google-apps.document,https://docs.google.com/document/d/1RNapZS2HmG1uYDqrRJIgCCoFdWmzShg3PHZ1ODskKmI/edit?usp=drivesdk,export,text/plain,rag_downloads/19660014566.txt,export,126261.0,
1523,1MUnxivQVZiXmpyEr3fdIdBQrwTk4BvM8,NickelElectroplating.pdf,Technical Teams/Engine/General Resources/Electroforming/NickelElectroplating.pdf,application/pdf,https://drive.google.com/file/d/1MUnxivQVZiXmpyEr3fdIdBQrwTk4BvM8/view?usp=drivesdk,download,,rag_downloads/NickelElectroplating.pdf,download,104784.0,
1524,1CfV7X1Kd8xTu3KHc3oM3-jX4U8aPn54c,19660014566.pdf,Technical Teams/Engine/General Resources/Electroforming/19660014566.pdf,application/pdf,https://drive.google.com/file/d/1CfV7X1Kd8xTu3KHc3oM3-jX4U8aPn54c/view?usp=drivesdk,download,,rag_downloads/19660014566.pdf,download,21821815.0,
1525,1D7VEewM8TrzYCXn8C-bp4VFtmEtTRgyP,Boric Acid SDS.pdf,Technical Teams/Engine/General Resources/Electroforming/Boric Acid SDS.pdf,application/pdf,https://drive.google.com/file/d/1D7VEewM8TrzYCXn8C-bp4VFtmEtTRgyP/view?usp=drivesdk,download,,rag_downloads/Boric Acid SDS.pdf,download,47830.0,
1526,1uMi1St8xMuRDKJ6JzLFHWpV76LQ09fZ-,NCKL-II-SULFAMATE-50--WW-AQ-1L.pdf,Technical Teams/Engine/General Resources/Electroforming/NCKL-II-SULFAMATE-50--WW-AQ-1L.pdf,application/pdf,https://drive.google.com/file/d/1uMi1St8xMuRDKJ6JzLFHWpV76LQ09fZ-/view?usp=drivesdk,download,,rag_downloads/NCKL-II-SULFAMATE-50--WW-AQ-1L.pdf,download,55772.0,
1527,1syLRfk5sD2-7Y082ROPygSL6tpUOeOYT,NASA Hot Oil Dewaxing.pdf,Technical Teams/Engine/General Resources/Electroforming/NASA Hot Oil Dewaxing.pdf,application/pdf,https://drive.google.com/file/d/1syLRfk5sD2-7Y082ROPygSL6tpUOeOYT/view?usp=drivesdk,download,,rag_downloads/NASA Hot Oil Dewaxing.pdf,download,1655971.0,
1528,1UAvslRp8_QnwPM0p5MW_lF7srxp1TSxJ,liquid rocket engine injectors NASA19760023196.pdf,Technical Teams/Engine/General Resources/liquid rocket engine injectors NASA19760023196.pdf,application/pdf,https://drive.google.com/file/d/1UAvslRp8_QnwPM0p5MW_lF7srxp1TSxJ/view?usp=drivesdk,download,,rag_downloads/liquid rocket engine injectors NASA19760023196.pdf,download,14210714.0,
1529,106Aacc8_gmFGh--rGXLPCyRNssz4dUaJ,A Numerical Approach to Optimize the Design of a Pintle Injector for LOX_GCH4 Liquid-Propellant Rocket Engine.pdf,Technical Teams/Engine/General Resources/A Numerical Approach to Optimize the Design of a Pintle Injector for LOX_GCH4 Liquid-Propellant Rocket Engine.pdf,application/pdf,https://drive.google.com/file/d/106Aacc8_gmFGh--rGXLPCyRNssz4dUaJ/view?usp=drivesdk,download,,rag_downloads/A Numerical Approach to Optimize the Design of a Pintle Injector for LOX_GCH4 Liquid-Propellant Rocket Engine.pdf,download,2623017.0,
1530,1xhM_TIZrrF6ZWSMxtd1N9yZKeGR14pcd,How to design rocket engines.pdf,Technical Teams/Engine/General Resources/How to design rocket engines.pdf,application/pdf,https://drive.google.com/file/d/1xhM_TIZrrF6ZWSMxtd1N9yZKeGR14pcd/view?usp=drivesdk,download,,rag_downloads/How to design rocket engines.pdf,download,6428525.0,
